,DELNG_DE,MRKT_NM,CPR_NM,PRDLST_NM,SPCIES_NM,GRAD,weight,PRI_MAX,PRI_MIN,PRI_AVE,PRI_PRED
6,2021-01-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,5400.0,3300.0,4854.545454545455,3797.0044
7,2021-01-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,3750.0,5623.563103448277,4080.3325
8,2021-01-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,8500.0,5950.0,7810.752580645162,4486.391
9,2021-01-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,8000.0,5000.0,6667.663684210526,5177.8237
10,2021-01-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,7500.0,2250.0,6503.6459375,5582.2925
11,2021-01-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,8600.0,5150.0,7779.032258064516,5697.982
12,2021-01-23,서울가락도매,중앙청과,풋고추,청양,특,1KG,9550.0,3900.0,7847.348611111111,5989.6787
13,2021-01-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,9500.0,3000.0,8544.285600000001,6256.216
14,2021-01-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,8350.0,3700.0,7020.833333333333,6251.132
15,2021-01-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,6100.0,8241.954137931034,6198.584
16,2021-01-29,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,6950.0,8628.57142857143,6501.6094
17,2021-01-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,12500.0,5100.0,10611.688518518517,6662.878
18,2021-02-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,14100.0,5600.0,11824.73129032258,7105.813
19,2021-02-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,10900.0,4650.0,9525.0,7502.175
20,2021-02-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,13400.0,8650.0,11734.782608695652,7529.482
21,2021-02-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,13700.0,4700.0,12355.672352941176,7843.267
22,2021-02-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,11850.0,7150.0,10190.754,8147.8105
23,2021-02-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,10600.0,5000.0,8627.941176470587,7475.7266
24,2021-02-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,9300.0,7250.0,8464.864864864865,7376.562
25,2021-02-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,9500.0,3000.0,7769.444444444444,7348.0605
26,2021-02-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,9400.0,7350.0,8758.823529411764,7329.6133
27,2021-02-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,9100.0,7500.0,8150.0,7513.836
28,2021-02-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,8250.0,6500.0,7386.868611111112,7306.683
29,2021-02-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,8350.0,3900.0,7476.276052631579,7108.289
30,2021-02-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,7300.0,6100.0,6724.8223684210525,7034.7725
31,2021-02-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,9550.0,7500.0,9124.0,7272.3657
32,2021-02-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,10050.0,8900.0,9309.592,7472.898
33,2021-03-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,8100.0,7000.0,7589.285714285715,7352.9526
34,2021-03-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,7500.0,3800.0,7043.716764705882,7205.7764
35,2021-03-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,7550.0,6900.0,7238.75,6988.164
36,2021-03-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,7750.0,6750.0,7208.654523809523,6857.973
37,2021-03-08,서울가락도매,중앙청과,풋고추,청양,특,1KG,7250.0,6300.0,6812.790697674419,6738.867
38,2021-03-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,6500.0,5750.0,6075.0,6529.1997
39,2021-03-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,6000.0,5300.0,5593.722857142857,6340.426
40,2021-03-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,6100.0,5428.57,5796.428529411765,6114.3066
41,2021-03-13,서울가락도매,중앙청과,풋고추,청양,특,1KG,6750.0,5450.0,6079.166666666667,5965.2964
42,2021-03-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,5500.0,5993.333333333333,5896.316
43,2021-03-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,6200.0,5400.0,5851.612903225807,5706.092
44,2021-03-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,6350.0,5550.0,5869.117647058823,5684.7593
45,2021-03-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,6500.0,5600.0,6177.272727272727,5702.544
46,2021-03-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,6500.0,5700.0,6109.981666666667,5794.6284
47,2021-03-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,6300.0,5000.0,5795.075681818183,5854.199
48,2021-03-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,6100.0,5000.0,5429.72972972973,5746.046
49,2021-03-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,5800.0,4300.0,4993.364259259259,5611.6543
50,2021-03-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,5150.0,4500.0,4756.25,5423.6445
51,2021-03-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,5300.0,4650.0,4967.981470588235,5267.2207
52,2021-03-31,서울가락도매,중앙청과,풋고추,청양,특,1KG,5400.0,4350.0,4790.816428571428,5018.609
53,2021-04-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,5000.0,4200.0,4516.7246341463415,4987.52
54,2021-04-02,서울가락도매,중앙청과,풋고추,청양,특,1KG,5050.0,3850.0,4432.597428571428,5158.13
55,2021-04-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,4900.0,3500.0,4116.666666666667,4945.657
56,2021-04-07,서울가락도매,중앙청과,풋고추,청양,특,1KG,3700.0,2700.0,3131.6488888888885,4122.9893
57,2021-04-08,서울가락도매,중앙청과,풋고추,청양,특,1KG,3600.0,2550.0,2981.325185185185,3798.3926
58,2021-04-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,2650.0,3085.3658536585367,3550.5232
59,2021-04-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,3600.0,2750.0,3242.635581395349,3393.8547
60,2021-04-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,3150.0,3150.0,3150.0,3298.0876
61,2021-04-13,서울가락도매,중앙청과,풋고추,청양,특,1KG,3500.0,2750.0,3040.0,3259.5193
62,2021-04-14,서울가락도매,중앙청과,풋고추,청양,특,1KG,3500.0,2357.14,3029.3721818181816,3196.4165
63,2021-04-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,3450.0,2350.0,2740.9264583333334,3157.0854
64,2021-04-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,3350.0,2375.0,2683.8541666666665,3137.4685
65,2021-04-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,2700.0,2700.0,2700.0,3083.086
66,2021-04-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,2500.0,2768.1286842105264,2976.7107
67,2021-04-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,3500.0,2562.5,2882.785,2955.364
68,2021-04-23,서울가락도매,중앙청과,풋고추,청양,특,1KG,3650.0,2550.0,3152.3147222222224,2942.1172
69,2021-04-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,4200.0,2750.0,3531.769074074074,3228.235
70,2021-04-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,4350.0,3000.0,3393.75,3324.9849
71,2021-04-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,4000.0,2850.0,3446.428571428572,3391.7424
72,2021-04-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,4200.0,3300.0,3548.7804878048782,3642.2493
73,2021-05-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,4550.0,2650.0,3859.768205128205,3723.859
74,2021-05-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,4650.0,2857.14,3431.766842105263,3648.8225
75,2021-05-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,4500.0,3000.0,3500.284090909091,3613.2378
76,2021-05-07,서울가락도매,중앙청과,풋고추,청양,특,1KG,4600.0,2750.0,3460.3995454545457,3597.2646
77,2021-05-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,4100.0,2650.0,3047.0,3492.3481
78,2021-05-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,3300.0,1850.0,2592.246756756757,3404.497
79,2021-05-14,서울가락도매,중앙청과,풋고추,청양,특,1KG,3200.0,2300.0,2586.9897959183672,3085.1992
80,2021-05-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,3300.0,2200.0,2580.851063829787,2968.1475
81,2021-05-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,3800.0,1850.0,2315.625,2807.691
82,2021-05-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,4100.0,2350.0,3111.785714285714,2334.8315
83,2021-05-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,4800.0,3100.0,3866.3334,2948.0212
84,2021-05-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,5500.0,2500.0,3488.848095238095,3195.997
85,2021-05-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,4800.0,2450.0,3159.447450980392,3254.0657
86,2021-05-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,4850.0,2000.0,3180.740666666667,3275.9116
87,2021-05-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,4700.0,2800.0,3682.5230232558138,3365.7354
88,2021-05-29,서울가락도매,중앙청과,풋고추,청양,특,1KG,5000.0,2625.0,3417.2619047619046,3574.995
89,2021-06-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,5000.0,1800.0,2938.6363636363635,3539.6714
90,2021-06-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,5300.0,2800.0,3584.6241666666665,3389.1975
91,2021-06-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,6000.0,3750.0,4451.5625,3511.6497
92,2021-06-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,6100.0,3200.0,3901.9385416666655,3892.0994
93,2021-06-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,6800.0,2350.0,4515.789473684211,4425.1807
94,2021-06-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,7400.0,2450.0,4585.106382978724,4604.4194
95,2021-06-14,서울가락도매,중앙청과,풋고추,청양,특,1KG,6000.0,3650.0,4641.666666666667,4688.6646
96,2021-06-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,2666.67,2666.67,2666.67,4665.602
97,2021-06-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,5600.0,2300.0,3346.3414634146343,4283.233
98,2021-06-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,5200.0,2600.0,3387.0689655172414,3904.9653
99,2021-06-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,5500.0,2650.0,3505.232558139535,3792.9204
100,2021-06-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,3000.0,3000.0,3000.0,3666.396
101,2021-06-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,5300.0,2500.0,3785.9116,3736.4526
102,2021-06-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,5300.0,2400.0,3689.1975308641977,3776.1313
103,2021-06-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,5500.0,2350.0,3470.2315000000003,3760.488
104,2021-06-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,4125.0,4125.0,4125.0,3638.2751
105,2021-06-29,서울가락도매,중앙청과,풋고추,청양,특,1KG,4125.0,2300.0,3320.833333333333,3599.5715
106,2021-06-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,4500.0,1350.0,2954.211176470588,3421.8438
107,2021-07-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,4600.0,1538.46,2831.9596825396825,3379.707
108,2021-07-02,서울가락도매,중앙청과,풋고추,청양,특,1KG,11750.0,2500.0,4154.545454545455,3373.0303
109,2021-07-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,6700.0,1000.0,4235.538,3574.581
110,2021-07-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,3125.0,3125.0,3125.0,3819.9338
111,2021-07-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,5000.0,1538.46,3420.9933333333333,3773.3499
112,2021-07-08,서울가락도매,중앙청과,풋고추,청양,특,1KG,6300.0,300.0,4133.596701030928,4180.7114
113,2021-07-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,5800.0,500.0,3603.6516853932585,4354.3936
114,2021-07-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,6200.0,1150.0,4339.550256410257,4417.272
115,2021-07-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,4375.0,2200.0,3575.0,4410.786
116,2021-07-14,서울가락도매,중앙청과,풋고추,청양,특,1KG,3125.0,3000.0,3083.333333333333,5150.0835
117,2021-07-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,2500.0,1375.0,2041.6666666666667,4709.102
118,2021-07-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,4500.0,1200.0,3006.661408450704,4134.664
119,2021-07-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,4600.0,1500.0,3153.45835443038,3935.3376
120,2021-07-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,2500.0,1375.0,2109.375,3768.1465
121,2021-07-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,3250.0,2100.0,2491.6666666666665,3304.4497
122,2021-07-22,서울가락도매,중앙청과,풋고추,청양,특,1KG,2800.0,1500.0,2315.432098765432,3132.1177
123,2021-07-23,서울가락도매,중앙청과,풋고추,청양,특,1KG,3350.0,1300.0,2263.152530120482,2925.2866
124,2021-07-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,4200.0,2000.0,2878.7061764705886,2788.4517
125,2021-07-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,4150.0,1750.0,2606.818181818182,2798.1272
126,2021-07-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,2500.0,1625.0,2125.0,2855.8
127,2021-07-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,2375.0,1625.0,2125.0,2730.932
128,2021-07-29,서울가락도매,중앙청과,풋고추,청양,특,1KG,3500.0,1625.0,2576.033604651163,2714.0564
129,2021-07-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,4000.0,1625.0,2388.611111111112,2705.874
130,2021-07-31,서울가락도매,중앙청과,풋고추,청양,특,1KG,3700.0,1250.0,2579.789310344828,2711.9163
131,2021-08-02,서울가락도매,중앙청과,풋고추,청양,특,1KG,4400.0,2125.0,3460.1645000000003,2794.8147
132,2021-08-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,4600.0,1750.0,3618.8272222222217,2961.2632
133,2021-08-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,4300.0,1750.0,2916.9733333333334,3107.3264
134,2021-08-05,서울가락도매,중앙청과,풋고추,청양,특,1KG,4000.0,1625.0,3010.9309900990097,3213.6855
135,2021-08-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,4000.0,1125.0,2238.770512820513,3161.803
136,2021-08-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,3100.0,1000.0,2304.1270000000004,2887.193
137,2021-08-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,2125.0,1750.0,1931.8181818181813,2769.0454
138,2021-08-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,1650.0,2271.808732394366,2573.5159
139,2021-08-12,서울가락도매,중앙청과,풋고추,청양,특,1KG,3300.0,1500.0,2264.477023809524,2456.2495
140,2021-08-13,서울가락도매,중앙청과,풋고추,청양,특,1KG,3200.0,1450.0,2166.30191919192,2356.8186
141,2021-08-14,서울가락도매,중앙청과,풋고추,청양,특,1KG,3062.5,900.0,1579.3962500000002,2255.1174
142,2021-08-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,1875.0,750.0,1446.428571428571,2097.7268
143,2021-08-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,2125.0,1000.0,1522.7272727272727,1910.8933
144,2021-08-19,서울가락도매,중앙청과,풋고추,청양,특,1KG,2350.0,777.78,1529.8032467532469,1790.9965
145,2021-08-20,서울가락도매,중앙청과,풋고추,청양,특,1KG,2500.0,1000.0,1524.1379310344828,1655.0996
146,2021-08-21,서울가락도매,중앙청과,풋고추,청양,특,1KG,2600.0,750.0,1766.641129032258,1579.6995
147,2021-08-23,서울가락도매,중앙청과,풋고추,청양,특,1KG,3100.0,1125.0,2278.030303030303,1582.8933
148,2021-08-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,1125.0,1125.0,1125.0,1883.0735
149,2021-08-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,2500.0,750.0,1473.7878333333333,1855.0726
150,2021-08-26,서울가락도매,중앙청과,풋고추,청양,특,1KG,2600.0,1042.86,1572.1727083333335,1793.3701
151,2021-08-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,3050.0,750.0,1919.2593333333327,1716.4136
152,2021-08-28,서울가락도매,중앙청과,풋고추,청양,특,1KG,3100.0,500.0,1782.2835483870967,1664.0192
153,2021-08-30,서울가락도매,중앙청과,풋고추,청양,특,1KG,1750.0,1125.0,1333.3333333333333,1631.4225
154,2021-08-31,서울가락도매,중앙청과,풋고추,청양,특,1KG,2800.0,500.0,1540.3131506849315,1608.4355
155,2021-09-01,서울가락도매,중앙청과,풋고추,청양,특,1KG,1375.0,875.0,1142.857142857143,1561.5896
156,2021-09-02,서울가락도매,중앙청과,풋고추,청양,특,1KG,3200.0,500.0,2198.285438596491,1447.7924
157,2021-09-03,서울가락도매,중앙청과,풋고추,청양,특,1KG,5000.0,1250.0,3482.908163265306,1631.3872
158,2021-09-04,서울가락도매,중앙청과,풋고추,청양,특,1KG,4600.0,1000.0,2599.239789473684,2183.8274
159,2021-09-06,서울가락도매,중앙청과,풋고추,청양,특,1KG,2800.0,1100.0,1938.6275609756096,2288.0823
160,2021-09-07,서울가락도매,중앙청과,풋고추,청양,특,1KG,2000.0,500.0,1305.214625,2221.1487
161,2021-09-08,서울가락도매,중앙청과,풋고추,청양,특,1KG,1850.0,850.0,1305.7692307692307,1966.1017
162,2021-09-09,서울가락도매,중앙청과,풋고추,청양,특,1KG,3500.0,1375.0,2385.543055555556,1771.9811
163,2021-09-10,서울가락도매,중앙청과,풋고추,청양,특,1KG,3650.0,1125.0,2743.716904761905,1877.119
164,2021-09-11,서울가락도매,중앙청과,풋고추,청양,특,1KG,3650.0,1000.0,2425.684745762712,2145.706
165,2021-09-13,서울가락도매,중앙청과,풋고추,청양,특,1KG,1625.0,1000.0,1364.5825,2186.2605
166,2021-09-15,서울가락도매,중앙청과,풋고추,청양,특,1KG,2550.0,500.0,1533.181833333333,1784.0663
167,2021-09-16,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,500.0,1923.1818181818185,1666.164
168,2021-09-17,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,500.0,1951.737142857143,1733.8281
169,2021-09-18,서울가락도매,중앙청과,풋고추,청양,특,1KG,5600.0,1250.0,3437.5861904761905,1826.098
170,2021-09-24,서울가락도매,중앙청과,풋고추,청양,특,1KG,3400.0,500.0,2078.169014084507,2221.0752
171,2021-09-25,서울가락도매,중앙청과,풋고추,청양,특,1KG,2050.0,2050.0,2050.0,2177.5579
172,2021-09-27,서울가락도매,중앙청과,풋고추,청양,특,1KG,2300.0,450.0,1226.470588235294,2014.1123
